,Matrix Size,Solver,Matrix Kind,Computation Time (seconds),Matrix Memory (MB)
43,4500,scipy sparse,tridiagonal,0.0007996000058483332,0.1029815673828125
44,4500,scipy sparse,diagonal,0.0005018999945605174,0.034332275390625
45,5500,numpy,normal,1.6417880999943009,230.7891845703125
46,5500,numpy,tridiagonal,1.5699253999919165,0.1258697509765625
47,5500,numpy,diagonal,1.5650391999952262,0.041961669921875
48,5500,scipy,normal,0.5984478000027593,230.7891845703125
49,5500,scipy,tridiagonal,0.017078199991374277,0.1258697509765625
50,5500,scipy,diagonal,0.016696600010618567,0.041961669921875
51,5500,scipy sparse,normal,,230.7891845703125
52,5500,scipy sparse,tridiagonal,0.0009771999903023243,0.1258697509765625
53,5500,scipy sparse,diagonal,0.0006550000107381493,0.041961669921875
54,6500,numpy,normal,2.6558304999925895,322.3419189453125
55,6500,numpy,tridiagonal,2.550116300000809,0.1487579345703125
56,6500,numpy,diagonal,2.5516798999888124,0.049591064453125
57,6500,scipy,normal,0.914247599997907,322.3419189453125
58,6500,scipy,tridiagonal,0.02308420000190381,0.1487579345703125
59,6500,scipy,diagonal,0.022707700001774356,0.049591064453125
60,6500,scipy sparse,normal,,322.3419189453125
61,6500,scipy sparse,tridiagonal,0.001451199990697205,0.1487579345703125
62,6500,scipy sparse,diagonal,0.0007323000027099624,0.049591064453125
63,7500,numpy,normal,4.028575899996213,429.1534423828125
64,7500,numpy,tridiagonal,3.867983499992988,0.1716461181640625
65,7500,numpy,diagonal,3.8619114000030095,0.057220458984375
66,7500,scipy,normal,1.3146930000075372,429.1534423828125
67,7500,scipy,tridiagonal,0.029534699991927482,0.1716461181640625
68,7500,scipy,diagonal,0.029219499992905185,0.057220458984375
69,7500,scipy sparse,normal,,429.1534423828125
70,7500,scipy sparse,tridiagonal,0.001622499999939464,0.1716461181640625
71,7500,scipy sparse,diagonal,0.0009144000068772584,0.057220458984375
72,8500,numpy,normal,5.767175799992401,551.2237548828125
73,8500,numpy,tridiagonal,5.570478800000274,0.1945343017578125
74,8500,numpy,diagonal,5.578378499994869,0.064849853515625
75,8500,scipy,normal,1.9795911999972304,551.2237548828125
76,8500,scipy,tridiagonal,0.03814589999092277,0.1945343017578125
77,8500,scipy,diagonal,0.037641799994162284,0.064849853515625
78,8500,scipy sparse,normal,,551.2237548828125
79,8500,scipy sparse,tridiagonal,0.0018819999968400225,0.1945343017578125
80,8500,scipy sparse,diagonal,0.0009756999934324995,0.064849853515625
