,x,y,Phi
0,3.673940397442059e-18,-0.06,-0.8910400316154815
1,0.002093969802150065,-0.05996344962114574,-0.8916846705989626
2,0.004185388424647527,-0.05985384301558945,-0.8931344710111402
3,0.006271707796059207,-0.05967131372209639,-0.8947281070544946
4,0.008350386057603928,-0.05941608412449422,-0.8964736614181159
5,0.010418890660015825,-0.05908846518073248,-0.8983667288888536
6,0.012474701449065567,-0.058688856044028334,-0.9004266096154561
7,0.01451531373598006,-0.05821774357655979,-0.9026744467320945
8,0.01653824134901995,-0.05767570175629913,-0.9051228087751866
9,0.018541019662496848,-0.05706339097770921,-0.9077836212497254
10,0.02052120859954013,-0.0563815572471545,-0.9106968427908875
11,0.02247639560495473,-0.05563103127400724,-0.9139216556020401
12,0.024404198584548023,-0.05481272745855605,-0.9174761339811823
13,0.026302268807344646,-0.05392764277795002,-0.9214416438805606
14,0.02816829376715345,-0.052976855571535614,-0.925934390633064
15,0.029999999999999992,-0.05196152422706632,-0.9311249389975047
16,0.03179515585399229,-0.050882885769385565,-0.9372049137388001
17,0.03355157420824481,-0.0497422543533025,-0.9445357449208601
18,0.035267115137548384,-0.04854101966249685,-0.9537792054505979
19,0.03693968851953949,-0.047280645216403315,-0.9675434090555591
20,0.03856725658119236,-0.04596266658713868,-1.0
21,0.03857905236754359,-0.045952766167254064,-1.0
22,0.03859084561240447,-0.04594286272011751,-1.0
23,0.0386026363149981,-0.04593295624638141,-1.0
24,0.038614424474547764,-0.04592304674669841,-1.0
25,0.038626210090276836,-0.0459131342217213,-1.0
26,0.03863799316140895,-0.0459032186721031,-1.0
27,0.03864977368716786,-0.04589330009849702,-1.0
28,0.03866155166677748,-0.04588337850155647,-1.0
29,0.038673327099461925,-0.04587345388193507,-1.0
30,0.03868509998444545,-0.045863526240286605,-1.0
31,0.03869687032095249,-0.04585359557726511,-1.0
32,0.03870863810820764,-0.045843661893524776,-1.0
33,0.03872040334543567,-0.04583372518972001,-1.0
34,0.03873216603186151,-0.045823785466505416,-1.0
35,0.03874392616671028,-0.0458138427245358,-1.0
36,0.03875568374920724,-0.04580389696446617,-1.0
37,0.03876743877857783,-0.04579394818695173,-1.0
38,0.03877919125404766,-0.045783996392647866,-1.0
39,0.03879094117484252,-0.045774041582210184,-1.0
40,0.03880268854018833,-0.04576408375629449,-1.0
41,0.03881443334931122,-0.045754122915556764,-1.0
42,0.038826175601437474,-0.04574415906065321,-1.0
43,0.03883791529579353,-0.045734192192240224,-1.0
44,0.03884965243160602,-0.045724222310974394,-1.0
45,0.03886138700810171,-0.04571424941751251,-1.0
46,0.03887311902450758,-0.045704273512511565,-1.0
47,0.03888484848005074,-0.04569429459662875,-1.0
48,0.0388965753739585,-0.04568431267052143,-1.0
49,0.0389082997054583,-0.04567432773484721,-1.0
50,0.03892002147377777,-0.04566433979026388,-1.0
51,0.03893174067814474,-0.04565434883742939,-1.0
52,0.038943457317787145,-0.04564435487700194,-1.0
53,0.03895517139193313,-0.045634357909639905,-1.0
54,0.03896688289981102,-0.04562435793600186,-1.0
55,0.03897859184064927,-0.04561435495674656,-1.0
56,0.038990298213676534,-0.04560434897253301,-1.0
57,0.03900200201812162,-0.04559433998402034,-1.0
58,0.03901370325321353,-0.04558432799186795,-1.0
59,0.03902540191818138,-0.045574312996735394,-1.0
60,0.03903709801225453,-0.045564294999282426,-1.0
61,0.039048791534662446,-0.04555427400016901,-1.0
62,0.03906048248463479,-0.04554425000005532,-1.0
63,0.039072170861401405,-0.045534222999601685,-1.0
64,0.03908385666419228,-0.045524192999468666,-1.0
65,0.039095539892237595,-0.04551416000031703,-1.0
66,0.03910722054476767,-0.04550412400280772,-1.0
67,0.039118898621013025,-0.04549408500760186,-1.0
68,0.039130574120204334,-0.04548404301536083,-1.0
69,0.03914224704157246,-0.04547399802674614,-1.0
70,0.039153917384348404,-0.04546395004241954,-1.0
71,0.039165585147763346,-0.04545389906304297,-1.0
72,0.039177250331048664,-0.04544384508927857,-1.0
73,0.03918891293343588,-0.045433788121788644,-1.0
74,0.039200572954156666,-0.04542372816123574,-1.0
75,0.039212230392442926,-0.04541366520828258,-1.0
76,0.03922388524752668,-0.045403599263592075,-1.0
77,0.03923553751864013,-0.045393530327827364,-1.0
78,0.03924718720501567,-0.04538345840165174,-1.0
79,0.03925883430588584,-0.04537338348572874,-1.0
80,0.039270478820483345,-0.04536330558072205,-1.0
81,0.0392821207480411,-0.04535322468729559,-1.0
82,0.039293760087792146,-0.04534314080611347,-1.0
83,0.03930539683896971,-0.045333053937839984,-1.0
